'FECHA';'COMERCIO/CAJERO';'IMPORTE';'MONEDA';'CONCEPTO';'ESTADO';'SEQ';'Clave_Concepto';'Categoria';'Subcategoria';'Fijo_Variable'
08/07/2016;'TABASA VALLVI S. C:2T';-3,70 €;'EUROS';'Compras.';'PAGADO';808;'TABASA';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
08/07/2016;'DRIM PARC VALLES';-25,98 €;'EUROS';'Compras.';'PAGADO';809;'DRIM';'Gastos_Compras';'Niños';'VARIABLES'
09/07/2016;'MERKAL BARICEN\BA';-115,96 €;'EUROS';'Compras.';'PAGADO';810;'MERKAL';'Gastos_Compras';'Ropa';'VARIABLES'
11/07/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';811;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
11/07/2016;'CAFET.C T PRAT\PR';-3,60 €;'EUROS';'Compras.';'PAGADO';812;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
11/07/2016;'TABASA VALLVI S. C:2T';-3,70 €;'EUROS';'Compras.';'PAGADO';813;'TABASA';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
11/07/2016;'Amazon Premium Cuota';-19,95 €;'EUROS';'Compras.';'PAGADO';814;'AMAZON';'Gastos_Compras';'Hobbys';'VARIABLES'
12/07/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';815;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
12/07/2016;'CAFET.C T PRAT\PR';-3,60 €;'EUROS';'Compras.';'PAGADO';816;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
12/07/2016;'AMAZON.ES COMPRA';-13,99 €;'EUROS';'Compras.';'PAGADO';817;'AMAZONES';'Gastos_Compras';'Hobbys';'VARIABLES'
13/07/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';818;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
